data,open,high,low,close,volume ,changepercent
2020/8/10,27488.21 ,27803.86 ,27488.21 ,27791.44 ,0,1.30%
2020/8/11,27961.64 ,28154.88 ,27624.51 ,27686.91 ,0,-0.38%
2020/8/12,27860.24 ,28043.89 ,27843.32 ,27976.84 ,0,1.05%
2020/8/13,27922.51 ,27986.10 ,27789.78 ,27896.72 ,0,-0.29%
2020/8/14,27828.93 ,27977.81 ,27759.39 ,27931.02 ,0,0.12%
2020/8/17,27970.05 ,27999.81 ,27816.40 ,27844.91 ,0,-0.31%
2020/8/18,27853.48 ,27891.12 ,27668.79 ,27778.07 ,0,-0.24%
2020/8/19,27811.26 ,27920.42 ,27647.67 ,27692.88 ,0,-0.31%
2020/8/20,27622.68 ,27781.46 ,27526.25 ,27739.73 ,0,0.17%
2020/8/21,27758.13 ,27959.48 ,27686.78 ,27930.33 ,0,0.69%
2020/8/24,28077.58 ,28314.94 ,28041.75 ,28308.46 ,0,1.35%
2020/8/25,28347.42 ,28400.74 ,28094.57 ,28248.44 ,0,-0.21%
2020/8/26,28257.88 ,28353.80 ,28153.91 ,28331.92 ,0,0.30%
2020/8/27,28384.07 ,28634.22 ,28363.93 ,28492.27 ,0,0.57%
2020/8/28,28601.29 ,28733.35 ,28487.98 ,28653.87 ,0,0.57%
2020/8/31,28643.66 ,28643.66 ,28363.55 ,28430.05 ,0,-0.78%
2020/9/1,28439.61 ,28659.26 ,28290.72 ,28645.66 ,0,0.76%
2020/9/2,28736.79 ,29162.88 ,28713.53 ,29100.50 ,0,1.59%
2020/9/3,29090.70 ,29199.35 ,28074.76 ,28292.73 ,0,-2.78%
2020/9/4,28341.05 ,28539.75 ,27664.68 ,28133.31 ,0,-0.56%
2020/9/8,27925.23 ,27925.23 ,27464.90 ,27500.89 ,0,-2.25%
2020/9/9,27711.71 ,28206.21 ,27704.54 ,27940.47 ,0,1.60%
2020/9/10,28022.51 ,28174.78 ,27447.08 ,27534.58 ,0,-1.45%
2020/9/11,27613.86 ,27828.82 ,27448.15 ,27665.64 ,0,0.48%
2020/9/14,27718.74 ,28086.06 ,27718.74 ,27993.33 ,0,1.18%
2020/9/15,28139.76 ,28231.06 ,27931.45 ,27995.60 ,0,0.01%
2020/9/16,28031.69 ,28364.77 ,28021.67 ,28032.38 ,0,0.13%
2020/9/17,27834.18 ,28056.79 ,27647.93 ,27901.98 ,0,-0.47%
2020/9/18,27864.87 ,27946.69 ,27487.97 ,27657.42 ,0,-0.88%
2020/9/21,27484.71 ,27484.71 ,26715.15 ,27147.70 ,0,-1.84%
2020/9/22,27170.34 ,27333.09 ,26989.93 ,27288.18 ,0,0.52%
2020/9/23,27413.60 ,27464.46 ,26716.12 ,26763.13 ,0,-1.92%
2020/9/24,26716.09 ,27094.85 ,26537.01 ,26815.44 ,0,0.20%
2020/9/25,26694.51 ,27239.29 ,26635.38 ,27173.96 ,0,1.34%
2020/9/28,27362.14 ,27722.60 ,27362.14 ,27584.06 ,0,1.51%
2020/9/29,27560.24 ,27605.60 ,27338.09 ,27452.66 ,0,-0.48%
2020/9/30,27514.64 ,28026.33 ,27511.06 ,27781.70 ,0,1.20%
2020/10/1,27940.63 ,28041.46 ,27669.26 ,27816.90 ,0,0.13%
2020/10/2,27536.39 ,27861.43 ,27382.94 ,27682.81 ,0,-0.48%
2020/10/5,27825.42 ,28162.64 ,27825.42 ,28148.64 ,0,1.68%
2020/10/6,28214.24 ,28354.48 ,27728.03 ,27772.76 ,0,-1.34%
2020/10/7,27971.36 ,28369.66 ,27971.36 ,28303.46 ,0,1.91%
2020/10/8,28348.86 ,28459.13 ,28265.56 ,28425.51 ,0,0.43%
2020/10/9,28533.61 ,28676.29 ,28440.63 ,28586.90 ,0,0.57%
2020/10/12,28671.12 ,28957.90 ,28659.67 ,28837.52 ,0,0.88%
2020/10/13,28764.95 ,28808.84 ,28604.35 ,28679.81 ,0,-0.55%
2020/10/14,28731.30 ,28792.56 ,28461.73 ,28514.00 ,0,-0.58%
2020/10/15,28323.40 ,28535.85 ,28181.54 ,28494.20 ,0,-0.07%
2020/10/16,28570.72 ,28842.90 ,28570.72 ,28606.31 ,0,0.39%
2020/10/19,28633.55 ,28711.93 ,28139.40 ,28195.42 ,0,-1.44%
2020/10/20,28245.85 ,28575.03 ,28243.04 ,28308.79 ,0,0.40%
2020/10/21,28270.66 ,28450.64 ,28196.39 ,28210.82 ,0,-0.35%
2020/10/22,28197.42 ,28421.31 ,28040.18 ,28363.66 ,0,0.54%
2020/10/23,28409.65 ,28436.52 ,28149.82 ,28335.57 ,0,-0.10%
2020/10/26,28185.82 ,28185.82 ,27370.16 ,27685.38 ,0,-2.29%
2020/10/27,27651.18 ,27707.69 ,27457.96 ,27463.19 ,0,-0.80%
2020/10/28,27102.14 ,27102.14 ,26497.39 ,26519.95 ,0,-3.43%
2020/10/29,26480.98 ,26891.89 ,26290.78 ,26659.11 ,0,0.52%
2020/10/30,26572.27 ,26639.18 ,26143.77 ,26501.60 ,0,-0.59%
2020/11/2,26691.28 ,27043.48 ,26691.28 ,26925.05 ,0,1.60%
2020/11/3,27138.69 ,27640.21 ,27138.69 ,27480.03 ,0,2.06%
2020/11/4,27512.83 ,28301.50 ,27512.83 ,27847.66 ,0,1.34%
2020/11/5,28083.37 ,28495.05 ,28083.37 ,28390.18 ,0,1.95%
2020/11/6,28399.13 ,28431.96 ,28189.50 ,28323.40 ,0,-0.24%
2020/11/9,29467.90 ,29933.83 ,29130.66 ,29157.97 ,0,2.95%
2020/11/10,29254.17 ,29478.86 ,29126.99 ,29420.92 ,0,0.90%
2020/11/11,29524.35 ,29593.11 ,29281.22 ,29397.63 ,0,-0.08%
2020/11/12,29231.91 ,29311.83 ,28902.13 ,29080.17 ,0,-1.08%
2020/11/13,29203.90 ,29559.25 ,29203.90 ,29479.81 ,0,1.37%
2020/11/16,29672.36 ,29964.29 ,29672.36 ,29950.44 ,0,1.60%
2020/11/17,29800.15 ,29872.42 ,29520.29 ,29783.35 ,0,-0.56%
2020/11/18,29875.40 ,29930.85 ,29432.84 ,29438.42 ,0,-1.16%
2020/11/19,29370.92 ,29524.90 ,29228.38 ,29483.23 ,0,0.15%
2020/11/20,29437.57 ,29469.89 ,29231.20 ,29263.48 ,0,-0.75%
2020/11/23,29332.82 ,29667.75 ,29332.82 ,29591.27 ,0,1.12%
2020/11/24,29746.11 ,30116.51 ,29746.11 ,30046.24 ,0,1.54%
2020/11/25,30058.87 ,30058.87 ,29806.25 ,29872.47 ,0,-0.58%
2020/11/27,29911.33 ,30015.13 ,29819.98 ,29910.37 ,0,0.13%
2020/11/30,29854.51 ,29854.51 ,29463.64 ,29638.64 ,0,-0.91%
2020/12/1,29797.50 ,30083.31 ,29797.50 ,29823.92 ,0,0.63%
2020/12/2,29695.09 ,29902.51 ,29599.29 ,29883.79 ,0,0.20%
2020/12/3,29920.83 ,30110.88 ,29877.27 ,29969.52 ,0,0.29%
2020/12/4,29989.56 ,30218.26 ,29989.56 ,30218.26 ,0,0.83%
2020/12/7,30233.03 ,30233.03 ,29967.22 ,30069.79 ,0,-0.49%
2020/12/8,29997.95 ,30246.22 ,29972.07 ,30173.88 ,0,0.35%
2020/12/9,30229.81 ,30319.70 ,29951.85 ,30068.81 ,0,-0.35%
2020/12/10,30032.55 ,30063.87 ,29876.82 ,29999.26 ,0,-0.23%
2020/12/11,29988.21 ,30071.13 ,29820.84 ,30046.37 ,0,0.16%
2020/12/14,30123.91 ,30325.79 ,29849.15 ,29861.55 ,0,-0.62%
2020/12/15,29919.09 ,30243.26 ,29894.95 ,30199.31 ,0,1.13%
2020/12/16,30191.38 ,30236.03 ,30080.11 ,30154.54 ,0,-0.15%
2020/12/17,30216.00 ,30323.78 ,30216.00 ,30303.37 ,0,0.49%
2020/12/18,30314.26 ,30343.59 ,30029.44 ,30179.05 ,0,-0.41%
2020/12/21,30159.00 ,30304.14 ,29755.53 ,30216.45 ,0,0.12%
2020/12/22,30200.20 ,30200.20 ,29992.89 ,30015.51 ,0,-0.67%
2020/12/23,30046.73 ,30292.53 ,30046.73 ,30129.83 ,0,0.38%
2020/12/24,30155.92 ,30209.67 ,30099.30 ,30199.87 ,0,0.23%
2020/12/28,30283.23 ,30525.56 ,30283.23 ,30403.97 ,0,0.68%
2020/12/29,30492.07 ,30588.79 ,30274.24 ,30335.67 ,0,-0.22%
2020/12/30,30415.09 ,30525.35 ,30393.04 ,30409.56 ,0,0.24%
2020/12/31,30417.64 ,30637.47 ,30344.50 ,30606.48 ,0,0.65%
2021/1/4,30627.47 ,30674.28 ,29881.82 ,30223.89 ,0,-1.25%
2021/1/5,30204.25 ,30504.89 ,30141.78 ,30391.60 ,0,0.55%
2021/1/6,30362.78 ,31022.65 ,30313.07 ,30829.40 ,0,1.44%
2021/1/7,30901.18 ,31193.40 ,30897.86 ,31041.13 ,0,0.69%
2021/1/8,31069.58 ,31140.67 ,30793.27 ,31097.97 ,0,0.18%
2021/1/11,31015.37 ,31096.98 ,30832.06 ,31008.69 ,0,-0.29%
2021/1/12,31015.01 ,31114.56 ,30888.76 ,31068.69 ,0,0.19%
2021/1/13,31084.88 ,31153.37 ,30992.05 ,31060.47 ,0,-0.03%
2021/1/14,31085.67 ,31223.78 ,30982.24 ,30991.52 ,0,-0.22%
2021/1/15,30926.77 ,30941.98 ,30612.67 ,30814.26 ,0,-0.57%
2021/1/19,30887.42 ,31086.62 ,30865.03 ,30930.52 ,0,0.38%
2021/1/20,31017.54 ,31235.98 ,30997.79 ,31188.38 ,0,0.83%
2021/1/21,31198.01 ,31272.22 ,31120.92 ,31176.01 ,0,-0.04%
